time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-8.08314e-06,-8.36599e-05,-8.08314e-06,-8.36599e-05,4.80831e-05,-8.36599e-05,-8.08314e-06,8.36599e-05,4.80831e-05,8.36599e-05,4.80831e-05,8.36599e-05
0.002,3.19209e-05,-8.36181e-05,3.19209e-05,-8.36181e-05,8.80591e-05,-8.36181e-05,3.19209e-05,8.36181e-05,8.80591e-05,8.36181e-05,8.80591e-05,8.36181e-05
0.003,0.000128075,8.37854e-05,0.000128075,8.37853e-05,7.18247e-05,8.37853e-05,0.000128075,-8.37853e-05,7.18247e-05,-8.37853e-05,7.18247e-05,-8.37854e-05
0.004,0.000167995,8.37853e-05,0.000167995,8.37852e-05,0.000111745,8.37852e-05,0.000167995,-8.37852e-05,0.000111745,-8.37852e-05,0.000111745,-8.37853e-05
0.005,0.000151681,-8.36184e-05,0.000151681,-8.36184e-05,0.000207819,-8.36184e-05,0.000151681,8.36184e-05,0.000207819,8.36184e-05,0.000207819,8.36184e-05
0.006,0.000191521,-8.36185e-05,0.000191521,-8.36185e-05,0.000247659,-8.36185e-05,0.000191521,8.36185e-05,0.000247659,8.36185e-05,0.000247659,8.36185e-05
0.007,0.000287516,8.3785e-05,0.000287516,8.37849e-05,0.000231265,8.37849e-05,0.000287516,-8.37849e-05,0.000231265,-8.37849e-05,0.000231265,-8.3785e-05
0.008,0.000327276,8.37849e-05,0.000327276,8.37848e-05,0.000271026,8.37848e-05,0.000327276,-8.37848e-05,0.000271026,-8.37848e-05,0.000271026,-8.37849e-05
0.009,0.000310803,-8.36187e-05,0.000310803,-8.36189e-05,0.000366941,-8.36188e-05,0.000310803,8.36188e-05,0.000366941,8.36189e-05,0.000366941,8.36187e-05
0.01,0.000350484,-8.36188e-05,0.000350484,-8.3619e-05,0.000406622,-8.36189e-05,0.000350484,8.36189e-05,0.000406622,8.3619e-05,0.000406622,8.36188e-05
0.011,0.000446319,8.37846e-05,0.000446319,8.37844e-05,0.000390069,8.37845e-05,0.000446319,-8.37845e-05,0.000390069,-8.37844e-05,0.000390069,-8.37846e-05
0.012,0.000485921,8.37846e-05,0.000485921,8.37843e-05,0.00042967,8.37844e-05,0.000485921,-8.37844e-05,0.000429671,-8.37843e-05,0.000429671,-8.37846e-05
0.013,0.000469288,-8.36191e-05,0.000469288,-8.36193e-05,0.000525427,-8.36192e-05,0.000469289,8.36192e-05,0.000525427,8.36193e-05,0.000525427,8.36191e-05
0.014,0.000508811,-8.36192e-05,0.000508811,-8.36194e-05,0.000564949,-8.36193e-05,0.000508811,8.36193e-05,0.00056495,8.36194e-05,0.00056495,8.36192e-05
0.015,0.000604488,8.37843e-05,0.000604488,8.3784e-05,0.000548238,8.37841e-05,0.000604488,-8.37841e-05,0.000548238,-8.3784e-05,0.000548238,-8.37843e-05
0.016,0.000643931,8.37842e-05,0.000643931,8.37839e-05,0.000587681,8.3784e-05,0.000643932,-8.3784e-05,0.000587681,-8.37839e-05,0.000587681,-8.37842e-05
0.017,0.000627141,-8.36195e-05,0.000627141,-8.36198e-05,0.00068328,-8.36196e-05,0.000627141,8.36196e-05,0.00068328,8.36198e-05,0.00068328,8.36195e-05
0.018,0.000666505,-8.36195e-05,0.000666505,-8.36199e-05,0.000722644,-8.36197e-05,0.000666506,8.36197e-05,0.000722644,8.36199e-05,0.000722644,8.36195e-05
