x,y
0.0625,0.108253
0.3125,0.108253
0.5625,0.108253
0.1875,0.32476
0.4375,0.32476
0.6875,0.32476
0.0625,0.541266
0.3125,0.541266
0.5625,0.541266
0.1875,0.757772
0.4375,0.757772
0.6875,0.757772
time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476,0.0625,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.001,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476,0.0625,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.002,0.0624989,0.108251,0.312499,0.108251,0.562501,0.108251,0.187499,0.324758,0.437501,0.324758,0.687501,0.324758,0.0624989,0.541268,0.312499,0.541268,0.562501,0.541268,0.187499,0.757774,0.437501,0.757774,0.687501,0.757774
0.003,0.0624989,0.108251,0.312499,0.108251,0.562501,0.108251,0.187499,0.324758,0.437501,0.324758,0.687501,0.324758,0.0624989,0.541268,0.312499,0.541268,0.562501,0.541268,0.187499,0.757774,0.437501,0.757774,0.687501,0.757774
0.004,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476,0.0625,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.005,0.0625022,0.108255,0.312502,0.108257,0.5625,0.108257,0.187501,0.324763,0.437498,0.324763,0.687498,0.324762,0.0625022,0.541264,0.312502,0.541262,0.562499,0.541262,0.1875,0.757769,0.437498,0.757769,0.687498,0.75777
0.006,0.0625034,0.108256,0.312503,0.108258,0.562501,0.108258,0.187501,0.324765,0.437497,0.324765,0.687497,0.324762,0.0625034,0.541263,0.312503,0.541261,0.562499,0.541261,0.187499,0.757767,0.437497,0.757767,0.687497,0.75777
0.007,0.0625034,0.108254,0.312503,0.108258,0.562501,0.108258,0.187501,0.324765,0.437497,0.324765,0.687497,0.324761,0.0625034,0.541265,0.312503,0.541261,0.562499,0.541261,0.187499,0.757767,0.437497,0.757767,0.687497,0.757771
0.008,0.0625022,0.108251,0.312502,0.108257,0.5625,0.108257,0.187501,0.324763,0.437498,0.324763,0.687498,0.324758,0.0625022,0.541268,0.312502,0.541262,0.562499,0.541262,0.1875,0.757769,0.437498,0.757769,0.687498,0.757774
0.009,0.0625,0.108248,0.3125,0.108253,0.562499,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.324754,0.0625,0.541271,0.3125,0.541266,0.5625,0.541266,0.187501,0.757772,0.4375,0.757772,0.6875,0.757777
0.01,0.0624966,0.108246,0.312497,0.108249,0.562499,0.108249,0.187499,0.324755,0.437503,0.324755,0.687503,0.324753,0.0624966,0.541273,0.312497,0.54127,0.562501,0.54127,0.187501,0.757776,0.437503,0.757776,0.687503,0.757779
0.011,0.0624944,0.108246,0.312494,0.108247,0.562499,0.108247,0.187499,0.324753,0.437506,0.324753,0.687506,0.324753,0.0624944,0.541273,0.312494,0.541272,0.562501,0.541272,0.187501,0.757779,0.437506,0.757779,0.687506,0.757779
0.012,0.0624933,0.108248,0.312493,0.108246,0.562499,0.108246,0.1875,0.324752,0.437507,0.324752,0.687507,0.324754,0.0624933,0.541271,0.312493,0.541273,0.5625,0.541273,0.187501,0.757779,0.437507,0.757779,0.687507,0.757777
0.013,0.0624933,0.108251,0.312493,0.108247,0.5625,0.108247,0.187501,0.324754,0.437507,0.324754,0.687507,0.324758,0.0624933,0.541268,0.312493,0.541272,0.562499,0.541272,0.1875,0.757778,0.437507,0.757778,0.687507,0.757774
0.014,0.0624944,0.108256,0.312494,0.10825,0.562501,0.10825,0.187501,0.324756,0.437506,0.324756,0.687506,0.324763,0.0624944,0.541263,0.312494,0.541269,0.562499,0.541269,0.187499,0.757775,0.437506,0.757775,0.687506,0.757769
0.015,0.0624966,0.10826,0.312497,0.108253,0.562501,0.108253,0.187501,0.32476,0.437503,0.32476,0.687503,0.324766,0.0624966,0.541259,0.312497,0.541266,0.562499,0.541266,0.187499,0.757772,0.437503,0.757772,0.687503,0.757766
0.016,0.0625,0.108262,0.3125,0.108255,0.5625,0.108255,0.187501,0.324761,0.4375,0.324761,0.6875,0.324768,0.0625,0.541257,0.3125,0.541264,0.562499,0.541264,0.1875,0.75777,0.4375,0.75777,0.6875,0.757764
