x,y
0,0
time,x,y
0,0,0
0.001,5.31168e-05,0
0.002,0.00015935,0
0.003,0.000265584,0
0.004,0.000371818,0
0.005,0.000478051,0
0.006,0.000584285,0
0.007,0.000690519,0
0.008,0.000796752,0
0.009,0.000902986,0
0.01,0.00100922,0
0.011,0.00111545,0
0.012,0.00122169,0
0.013,0.00132792,0
0.014,0.00143416,0
0.015,0.00154039,0
0.016,0.00164662,0
0.017,0.00175286,0
0.018,0.00185909,0
0.019,0.00196533,0
0.02,0.00207156,0
0.021,0.0021778,0
0.022,0.00228403,0
0.023,0.00239027,0
0.024,0.0024965,0
0.025,0.00260274,0
0.026,0.00270897,0
0.027,0.00281521,0
0.028,0.00292144,0
0.029,0.00302768,0
0.03,0.00313391,0
0.031,0.00324015,0
0.032,0.00334638,0
0.033,0.00345262,0
0.034,0.00355886,0
0.035,0.00366509,0
0.036,0.00377133,0
0.037,0.00387757,0
0.038,0.0039838,0
0.039,0.00409004,0
0.04,0.00419628,0
0.041,0.00430252,0
0.042,0.00440875,0
0.043,0.00451499,0
0.044,0.00462123,0
0.045,0.00472747,0
0.046,0.00483371,0
0.047,0.00493995,0
0.048,0.00504619,0
0.049,0.00515243,0
0.05,0.00525867,0
0.051,0.00536491,0
0.052,0.00547115,0
0.053,0.00557739,0
0.054,0.00568363,0
0.055,0.00578987,0
0.056,0.00589611,0
0.057,0.00600235,0
0.058,0.00610859,0
0.059,0.00621484,0
0.06,0.00632108,0
0.061,0.00642732,0
0.062,0.00653356,0
0.063,0.00663981,0
0.064,0.00674605,0
0.065,0.0068523,0
0.066,0.00695854,0
0.067,0.00706479,0
0.068,0.00717103,0
0.069,0.00727728,0
0.07,0.00738352,0
0.071,0.00748977,0
0.072,0.00759601,0
0.073,0.00770226,0
0.074,0.00780851,0
0.075,0.00791476,0
0.076,0.008021,0
0.077,0.00812725,0
0.078,0.0082335,0
0.079,0.00833975,0
0.08,0.008446,0
0.081,0.00855225,0
0.082,0.0086585,0
0.083,0.00876475,0
0.084,0.008871,0
0.085,0.00897725,0
0.086,0.00908351,0
0.087,0.00918976,0
0.088,0.00929601,0
0.089,0.00940227,0
0.09,0.00950852,0
0.091,0.00961477,0
