time,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-1.21604e-05,-2.38823e-05,-1.21604e-05,-2.38823e-05,1.21604e-05,-2.38823e-05,-1.21604e-05,2.38823e-05,1.21604e-05,2.38823e-05,1.21604e-05,2.38823e-05
0.002,-1.21543e-05,-7.1635e-05,-1.21543e-05,-7.1635e-05,1.21543e-05,-7.1635e-05,-1.21543e-05,7.1635e-05,1.21543e-05,7.1635e-05,1.21543e-05,7.1635e-05
0.003,1.21786e-05,-0.000119352,1.21786e-05,-0.000119352,-1.21786e-05,-0.000119352,1.21786e-05,0.000119352,-1.21786e-05,0.000119352,-1.21786e-05,0.000119352
0.004,1.21786e-05,-0.000167021,1.21786e-05,-0.000167021,-1.21786e-05,-0.000167021,1.21786e-05,0.000167021,-1.21786e-05,0.000167021,-1.21786e-05,0.000167021
0.005,-1.21543e-05,-0.000214643,-1.21543e-05,-0.000214643,1.21543e-05,-0.000214643,-1.21543e-05,0.000214643,1.21543e-05,0.000214643,1.21543e-05,0.000214643
0.006,-1.21543e-05,-0.000262217,-1.21543e-05,-0.000262217,1.21543e-05,-0.000262217,-1.21543e-05,0.000262217,1.21543e-05,0.000262217,1.21543e-05,0.000262217
0.007,1.21785e-05,-0.000309743,1.21785e-05,-0.000309743,-1.21785e-05,-0.000309743,1.21785e-05,0.000309743,-1.21785e-05,0.000309743,-1.21785e-05,0.000309743
0.008,1.21785e-05,-0.000357222,1.21785e-05,-0.000357222,-1.21785e-05,-0.000357222,1.21785e-05,0.000357222,-1.21785e-05,0.000357222,-1.21785e-05,0.000357222
0.009,-1.21544e-05,-0.000404654,-1.21544e-05,-0.000404654,1.21544e-05,-0.000404654,-1.21544e-05,0.000404654,1.21544e-05,0.000404654,1.21544e-05,0.000404654
0.01,-1.21544e-05,-0.000452038,-1.21544e-05,-0.000452038,1.21544e-05,-0.000452038,-1.21544e-05,0.000452038,1.21544e-05,0.000452038,1.21544e-05,0.000452038
0.011,1.21784e-05,-0.000499376,1.21784e-05,-0.000499376,-1.21784e-05,-0.000499376,1.21784e-05,0.000499376,-1.21784e-05,0.000499376,-1.21784e-05,0.000499376
0.012,1.21784e-05,-0.000546666,1.21784e-05,-0.000546666,-1.21784e-05,-0.000546666,1.21784e-05,0.000546666,-1.21784e-05,0.000546666,-1.21784e-05,0.000546666
0.013,-1.21544e-05,-0.000593908,-1.21544e-05,-0.000593908,1.21544e-05,-0.000593908,-1.21544e-05,0.000593908,1.21544e-05,0.000593908,1.21544e-05,0.000593908
0.014,-1.21544e-05,-0.000641104,-1.21544e-05,-0.000641104,1.21544e-05,-0.000641104,-1.21544e-05,0.000641104,1.21544e-05,0.000641104,1.21544e-05,0.000641104
0.015,1.21783e-05,-0.000688253,1.21783e-05,-0.000688253,-1.21783e-05,-0.000688253,1.21783e-05,0.000688253,-1.21783e-05,0.000688253,-1.21783e-05,0.000688253
0.016,1.21783e-05,-0.000735355,1.21783e-05,-0.000735355,-1.21783e-05,-0.000735355,1.21783e-05,0.000735355,-1.21783e-05,0.000735355,-1.21783e-05,0.000735355
0.017,-1.21544e-05,-0.00078241,-1.21544e-05,-0.00078241,1.21544e-05,-0.00078241,-1.21544e-05,0.00078241,1.21544e-05,0.00078241,1.21544e-05,0.00078241
0.018,-1.21545e-05,-0.000829418,-1.21545e-05,-0.000829418,1.21545e-05,-0.000829418,-1.21545e-05,0.000829418,1.21545e-05,0.000829418,1.21545e-05,0.000829418
0.019,1.21782e-05,-0.00087638,1.21782e-05,-0.00087638,-1.21782e-05,-0.00087638,1.21782e-05,0.00087638,-1.21782e-05,0.00087638,-1.21782e-05,0.00087638
0.02,1.21782e-05,-0.000923295,1.21782e-05,-0.000923295,-1.21782e-05,-0.000923295,1.21782e-05,0.000923295,-1.21782e-05,0.000923295,-1.21782e-05,0.000923295
0.021,-1.21545e-05,-0.000970163,-1.21545e-05,-0.000970163,1.21544e-05,-0.000970163,-1.21544e-05,0.000970163,1.21545e-05,0.000970163,1.21545e-05,0.000970163
0.022,-1.21545e-05,-0.00101698,-1.21545e-05,-0.00101698,1.21545e-05,-0.00101698,-1.21545e-05,0.00101698,1.21545e-05,0.00101698,1.21545e-05,0.00101698
0.023,1.21781e-05,-0.00106376,1.21781e-05,-0.00106376,-1.21781e-05,-0.00106376,1.21781e-05,0.00106376,-1.21781e-05,0.00106376,-1.21781e-05,0.00106376
0.024,1.21781e-05,-0.00111049,1.21781e-05,-0.00111049,-1.21781e-05,-0.00111049,1.21781e-05,0.00111049,-1.21781e-05,0.00111049,-1.21781e-05,0.00111049
0.025,-1.21545e-05,-0.00115717,-1.21545e-05,-0.00115717,1.21545e-05,-0.00115717,-1.21545e-05,0.00115717,1.21545e-05,0.00115717,1.21545e-05,0.00115717
0.026,-1.21545e-05,-0.00120381,-1.21545e-05,-0.00120381,1.21545e-05,-0.00120381,-1.21545e-05,0.00120381,1.21545e-05,0.00120381,1.21545e-05,0.00120381
0.027,1.2178e-05,-0.0012504,1.2178e-05,-0.0012504,-1.2178e-05,-0.0012504,1.2178e-05,0.0012504,-1.2178e-05,0.0012504,-1.2178e-05,0.0012504
0.028,1.2178e-05,-0.00129694,1.2178e-05,-0.00129694,-1.2178e-05,-0.00129694,1.2178e-05,0.00129694,-1.2178e-05,0.00129694,-1.2178e-05,0.00129694
0.029,-1.21545e-05,-0.00134344,-1.21545e-05,-0.00134344,1.21545e-05,-0.00134344,-1.21545e-05,0.00134344,1.21545e-05,0.00134344,1.21545e-05,0.00134344
0.03,-1.21545e-05,-0.00138989,-1.21545e-05,-0.00138989,1.21545e-05,-0.00138989,-1.21545e-05,0.00138989,1.21545e-05,0.00138989,1.21545e-05,0.00138989
0.031,1.21778e-05,-0.0014363,1.21778e-05,-0.0014363,-1.21779e-05,-0.0014363,1.21779e-05,0.0014363,-1.21778e-05,0.0014363,-1.21778e-05,0.0014363
0.032,1.21778e-05,-0.00148266,1.21778e-05,-0.00148266,-1.21779e-05,-0.00148266,1.21779e-05,0.00148266,-1.21778e-05,0.00148266,-1.21778e-05,0.00148266
0.033,-1.21545e-05,-0.00152897,-1.21545e-05,-0.00152897,1.21544e-05,-0.00152897,-1.21544e-05,0.00152897,1.21545e-05,0.00152897,1.21545e-05,0.00152897
0.034,-1.21545e-05,-0.00157524,-1.21545e-05,-0.00157524,1.21545e-05,-0.00157524,-1.21545e-05,0.00157524,1.21545e-05,0.00157524,1.21545e-05,0.00157524
0.035,1.21777e-05,-0.00162146,1.21777e-05,-0.00162146,-1.21777e-05,-0.00162146,1.21777e-05,0.00162146,-1.21777e-05,0.00162146,-1.21777e-05,0.00162146
0.036,1.21777e-05,-0.00166764,1.21777e-05,-0.00166764,-1.21777e-05,-0.00166764,1.21777e-05,0.00166764,-1.21777e-05,0.00166764,-1.21777e-05,0.00166764
0.037,-1.21544e-05,-0.00171377,-1.21544e-05,-0.00171377,1.21544e-05,-0.00171377,-1.21544e-05,0.00171377,1.21544e-05,0.00171377,1.21544e-05,0.00171377
0.038,-1.21545e-05,-0.00175986,-1.21545e-05,-0.00175986,1.21545e-05,-0.00175986,-1.21545e-05,0.00175986,1.21545e-05,0.00175986,1.21545e-05,0.00175986
0.039,1.21776e-05,-0.0018059,1.21776e-05,-0.0018059,-1.21776e-05,-0.0018059,1.21776e-05,0.0018059,-1.21776e-05,0.0018059,-1.21776e-05,0.0018059
0.04,1.21776e-05,-0.00185189,1.21776e-05,-0.00185189,-1.21776e-05,-0.00185189,1.21776e-05,0.00185189,-1.21776e-05,0.00185189,-1.21776e-05,0.00185189
0.041,-1.21544e-05,-0.00189784,-1.21544e-05,-0.00189784,1.21544e-05,-0.00189784,-1.21544e-05,0.00189784,1.21544e-05,0.00189784,1.21544e-05,0.00189784
0.042,-1.21544e-05,-0.00194375,-1.21544e-05,-0.00194375,1.21544e-05,-0.00194375,-1.21544e-05,0.00194375,1.21544e-05,0.00194375,1.21544e-05,0.00194375
0.043,1.21774e-05,-0.00198961,1.21774e-05,-0.0019896,-1.21774e-05,-0.0019896,1.21774e-05,0.0019896,-1.21774e-05,0.0019896,-1.21774e-05,0.00198961
0.044,1.21774e-05,-0.00203542,1.21774e-05,-0.00203542,-1.21774e-05,-0.00203542,1.21774e-05,0.00203542,-1.21774e-05,0.00203542,-1.21774e-05,0.00203542
